word,definition,difficulty
disport,"occupy in an agreeable, entertaining or pleasant fashion",4
apologist,a person who argues to defend some policy or institution,4
abeyance,temporary cessation or suspension,4
enclave,an enclosed territory that is culturally distinct,4
improvident,not supplying something useful for the future,4
disquisition,an elaborate analytical or explanatory essay or discussion,4
categorical,not modified or restricted by reservations,4
redolent,serving to bring to mind,4
felicitous,exhibiting an agreeably appropriate manner or style,4
gusty,blowing in puffs or short intermittent blasts,4
natty,marked by up-to-dateness in dress and manners,4
pacifist,opposed to war,4
buxom,healthily plump and vigorous,4
heyday,the period of greatest prosperity or productivity,4
herculean,displaying superhuman strength or power,4
burgeon,grow and flourish,4
crone,"an ugly, evil-looking old woman",4
prognosticate,make a prediction about; tell in advance,4
lout,"an awkward, foolish person",4
simper,"smile in an insincere, unnatural, or coy way",4
iniquitous,characterized by injustice or wickedness,4
rile,"disturb, especially by minor irritations",4
sentient,endowed with feeling and unstructured consciousness,4
garish,tastelessly showy,4
readjustment,the act of correcting again,4
erstwhile,belonging to some prior time,4
aquiline,curved down like an eagle's beak,4
bilious,irritable as if suffering from indigestion,4
vilify,spread negative information about,4
nuance,a subtle difference in meaning or opinion or attitude,4
gawk,look with amazement,4
refectory,"a communal dining-hall, usually in a monastery",4
palatial,suitable for or like a large and stately residence,4
mincing,affectedly dainty or refined,4
trenchant,having keenness and forcefulness and penetration in thought,4
emboss,raise in a relief,4
proletarian,a member of the working class,4
careen,pitching dangerously to one side,4
debacle,a sound defeat,4
sycophant,a person who tries to please someone to gain an advantage,4
crabbed,annoyed and irritable,4
archetype,something that serves as a model,4
cryptic,of an obscure nature,4
penchant,a strong liking or preference,4
bauble,cheap showy jewelry or ornament,4
mountebank,a flamboyant deceiver,4
fawning,attempting to win favor by flattery,4
hummock,a small natural hill,4
apotheosis,model of excellence or perfection of a kind,4
discretionary,not earmarked; available for use as needed,4
pithy,concise and full of meaning,4
comport,behave in a certain manner,4
checkered,marked by changeable fortune,4
ambrosia,the food and drink of the gods,4
factious,dissenting with the majority opinion,4
disgorge,cause or allow to flow or run out or over,4
filch,make off with belongings of others,4
wraith,"a ghostly figure, especially one seen shortly before death",4
demonstrable,capable of being proved,4
pertinacious,stubbornly unyielding,4
emend,make corrections to,4
laggard,someone who takes more time than necessary,4
waffle,pause or hold back in uncertainty or unwillingness,4
loquacious,full of trivial conversation,4
venial,easily excused or forgiven,4
peon,a laborer who is obliged to do menial work,4
effulgence,the quality of being bright and sending out rays of light,4
lode,a deposit of valuable ore,4
fanfare,a gaudy outward display,4
dilettante,showing frivolous or superficial interest; amateurish,4
pusillanimous,"lacking in courage, strength, and resolution",4
ingrained,deeply rooted; firmly fixed or held,4
quagmire,a soft wet area of low-lying land that sinks underfoot,4
reprobation,severe disapproval,4
mannered,having unnatural behavioral attributes,4
squeamish,easily disturbed or disgusted by unpleasant things,4
proclivity,a natural inclination,4
miserly,characterized by or indicative of lack of generosity,4
vapid,lacking significance or liveliness or spirit or zest,4
mercurial,liable to sudden unpredictable change,4
perspicuous,transparently clear; easily understandable,4
nonplus,be a mystery or bewildering to,4
enamor,attract,4
hackneyed,repeated too often; overfamiliar through overuse,4
spate,a large number or amount or extent,4
pedagogue,someone who educates young people,4
acme,the highest level or degree attainable,4
masticate,bite and grind with the teeth,4
sinecure,a job that involves minimal duties,4
indite,produce a literary work,4
emetic,a medicine that induces nausea and vomiting,4
temporize,draw out a discussion or process in order to gain time,4
unimpeachable,beyond doubt or reproach,4
genesis,a coming into being,4
mordant,harshly ironic or sinister,4
smattering,a small number or amount,4
suavity,the quality of being charming and gracious in manner,4
stentorian,very loud or booming,4
junket,a trip taken by an official at public expense,4
appurtenance,a supplementary component that improves capability,4
nostrum,patent medicine whose efficacy is questionable,4
immure,"lock up or confine, in or as in a jail",4
astringent,acidic or bitter in taste or smell,4
unfaltering,marked by firm determination or resolution; not shakable,4
tutelage,attention and management implying responsibility for safety,4
testator,a person who makes a will,4
elysian,of such excellence as to suggest inspiration by the gods,4
fulminate,criticize severely,4
fractious,easily irritated or annoyed,4
pummel,"strike, usually with the fist",4
manumit,free from slavery or servitude,4
unexceptionable,completely acceptable; not open to reproach,4
triumvirate,a group of three people responsible for civil authority,4
sybarite,a person addicted to luxury and pleasures of the senses,4
jibe,"be compatible, similar, or consistent",4
magisterial,offensively self-assured or exercising unwarranted power,4
roseate,of something having a dusty purplish pink color,4
obloquy,"abusive, malicious, and condemnatory language",4
hoodwink,influence by slyness,4
striate,mark with stripes of contrasting color,4
arrogate,seize and take control without authority,4
rarefied,of high moral or intellectual value,4
chary,characterized by great caution,4
credo,any system of principles or beliefs,4
superannuated,too old to be useful,4
impolitic,"lacking tact, shrewdness, or prudence",4
aspersion,a disparaging remark,4
abysmal,exceptionally bad or displeasing,4
poignancy,"a quality that arouses emotions, especially pity or sorrow",4
stilted,artificially formal or stiff,4
effete,"excessively self-indulgent, affected, or decadent",4
provender,food for domestic livestock,4
endemic,of a disease constantly present in a particular locality,4
jocund,full of or showing high-spirited merriment,4
procedural,of or relating to processes,4
rakish,marked by a carefree unconventionality or disreputableness,4
skittish,"unpredictably excitable, especially of horses",4
peroration,a flowery and highly rhetorical address,4
nonentity,a person of no influence,4
abstemious,marked by temperance in indulgence,4
viscid,having the sticky properties of an adhesive,4
doggerel,a comic verse of irregular measure,4
sleight,adroitness in using the hands,4
rubric,category name,4
plenitude,a full supply,4
rebus,a puzzle consisting of pictures representing words,4
wizened,lean and wrinkled by shrinkage as from age or illness,4
whorl,a round shape formed by a series of concentric circles,4
fracas,a noisy quarrel,4
iconoclast,someone who attacks cherished ideas or institutions,4
saturnine,bitter or scornful,4
madrigal,an unaccompanied partsong for several voices,4
discursive,tending to cover a wide range of subjects,4
zealot,a fervent and even militant proponent of something,4
moribund,not growing or changing; without force or vitality,4
modicum,a small or moderate or token amount,4
connotation,an idea that is implied or suggested,4
adventitious,associated by chance and not an integral part,4
recondite,difficult to understand,4
zephyr,a slight wind,4
countermand,cancel officially,4
captious,tending to find and call attention to faults,4
cognate,having the same ancestral language,4
forebear,a person from whom you are descended,4
cadaverous,very thin especially from disease or hunger or cold,4
foist,force onto another,4
dotage,mental infirmity as a consequence of old age,4
nexus,a connected series or group,4
choleric,characterized by anger,4
garble,distort or make false by mutilation or addition,4
bucolic,idyllically rustic,4
denouement,the outcome of a complex sequence of events,4
animus,a feeling of ill will arousing active hostility,4
overweening,"unrestrained, especially with regard to feelings",4
tyro,someone new to a field or activity,4
preen,dress or groom with elaborate care,4
largesse,liberality in bestowing gifts,4
retentive,good at remembering,4
unconscionable,greatly exceeding bounds of reason or moderation,4
badinage,frivolous banter,4
insensate,devoid of feeling and consciousness and animation,4
sherbet,a frozen dessert made primarily of fruit juice and sugar,4
beatific,resembling or befitting an angel or saint,4
bemuse,cause to be confused emotionally,4
microcosm,a miniature model of something,4
factitious,not produced by natural forces; artificial or fake,4
gestate,develop in the mind; have the idea for,4
traduce,speak unfavorably about,4
sextant,an instrument for measuring angular distance,4
coiffure,the arrangement of the hair,4
malleable,easily influenced,4
rococo,having excessive asymmetrical ornamentation,4
fructify,become productive or fruitful,4
nihilist,someone who rejects all theories of morality,4
ellipsis,a mark indicating that words have been omitted,4
accolade,a tangible symbol signifying approval or distinction,4
codicil,a supplement to a will,4
roil,be agitated,4
grandiloquent,lofty in style,4
inconsequential,lacking worth or importance,4
effervescence,the property of giving off bubbles,4
stultify,deprive of strength or efficiency; make useless or worthless,4
tureen,large deep serving dish with a cover,4
pellucid,transparently clear; easily understandable,4
euphony,any pleasing and harmonious sounds,4
apocryphal,being of questionable authenticity,4
veracious,precisely accurate,4
pendulous,hanging loosely or bending downward,4
exegesis,an explanation or critical interpretation,4
effluvium,a foul-smelling outflow or vapor,4
apposite,being of striking appropriateness and pertinence,4
viscous,having the sticky properties of an adhesive,4
misanthrope,someone who dislikes people in general,4
vintner,someone who makes wine,4
halcyon,idyllically calm and peaceful; suggesting happy tranquility,4
anthropomorphic,suggesting human features for animals or inanimate things,4
turgid,ostentatiously lofty in style,4
malaise,a feeling of mild sickness or depression,4
polemical,of or involving dispute or controversy,4
gadfly,a persistently annoying person,4
atavism,a reappearance of an earlier characteristic,4
contusion,an injury in which the skin is not broken,4
parsimonious,excessively unwilling to spend,4
dulcet,pleasing to the ear,4
reprise,a repetition of a short musical passage,4
anodyne,capable of relieving pain,4
bemused,perplexed by many conflicting situations or statements,4
